Product Name,Category,Production Mode,Batch Yield,Profit on Cost %,SKU,Material Name,Quantity,Unit
Peanut Butter 250g,Spreads,batch,500,25,PB-250,Raw Peanuts,200,Kg
Peanut Butter 250g,Spreads,batch,500,25,PB-250,Palm Oil (Crude),8,L
Peanut Butter 250g,Spreads,batch,500,25,PB-250,Salt (Iodised),1,Kg
Peanut Butter 250g,Spreads,batch,500,25,PB-250,Sugar (Refined),5,Kg
Peanut Butter 250g,Spreads,batch,500,25,PB-250,PET Jar 250g (with lid),500,Ea
Peanut Butter 250g,Spreads,batch,500,25,PB-250,Label (Printed),500,Ea
Peanut Butter 400g,Spreads,batch,300,25,PB-400,Raw Peanuts,200,Kg
Peanut Butter 400g,Spreads,batch,300,25,PB-400,Palm Oil (Crude),8,L
Peanut Butter 400g,Spreads,batch,300,25,PB-400,Salt (Iodised),1,Kg
Peanut Butter 400g,Spreads,batch,300,25,PB-400,Sugar (Refined),5,Kg
Peanut Butter 400g,Spreads,batch,300,25,PB-400,PET Jar 400g (with lid),300,Ea
Peanut Butter 400g,Spreads,batch,300,25,PB-400,Label (Printed),300,Ea
Cocoa Powder 200g,Beverages,batch,400,22,CP-200,Cocoa Beans (Dried),80,Kg
Cocoa Powder 200g,Beverages,batch,400,22,CP-200,Sugar (Refined),20,Kg
Cocoa Powder 200g,Beverages,batch,400,22,CP-200,Milk Powder (Full Fat),16,Kg
Cocoa Powder 200g,Beverages,batch,400,22,CP-200,Sachet Film 100g,400,Ea
Cocoa Powder 200g,Beverages,batch,400,22,CP-200,Label (Printed),400,Ea
Corn Flour 500g,Grains & Flours,batch,600,20,CF-500,Corn (Dried),300,Kg
Corn Flour 500g,Grains & Flours,batch,600,20,CF-500,Packaging Film (Roll),6,m
Corn Flour 500g,Grains & Flours,batch,600,20,CF-500,Label (Printed),600,Ea
Corn Flour 500g,Grains & Flours,batch,600,20,CF-500,Water (Treated),20,L
Gari 1kg,Cassava Products,batch,400,20,GA-1KG,Cassava (Dried Chips),480,Kg
Gari 1kg,Cassava Products,batch,400,20,GA-1KG,Salt (Iodised),2,Kg
Gari 1kg,Cassava Products,batch,400,20,GA-1KG,Packaging Film (Roll),8,m
Gari 1kg,Cassava Products,batch,400,20,GA-1KG,Label (Printed),400,Ea
Cassava Flour 500g,Cassava Products,batch,500,20,CASSF-500,Cassava (Dried Chips),260,Kg
Cassava Flour 500g,Cassava Products,batch,500,20,CASSF-500,Packaging Film (Roll),5,m
Cassava Flour 500g,Cassava Products,batch,500,20,CASSF-500,Label (Printed),500,Ea
